Site,HABITAT,GST,EYR,GF,BTH,GWH,WTTR,WEHE,WNHE,SFW,WBSW,CR,LK,RWB,AUR,STTH,LR,WPHE,YTH,ER,PCU,ESP,SCR,RBFT,BFCS,WAG,WWCH,NHHE,VS,CST,BTR,AMAG,SCC,RWH,WSW,STP,YFHE,WHIP,GAL,FHE,BRTH,SPP,SIL,GCU,MUSK,MGLK,BHHE,RFC,YTBC,LYRE,CHE,OWH,TRM,MB,STHR,LHE,FTC,PINK,OBO,YR,LFB,SPW,RBTR,DWS,BELL,LWB,CBW,GGC,PIL,SKF,RSL,PDOV,CRP,JW,BCHE,RCR,GBB,RRP,LLOR,YTHE,RF,SHBC,AZKF,SFC,YRTH,ROSE,BCOO,LFC,WG,PCOO,WTG,NMIN,NFB,DB,RBEE,HBC,DF,PCL,FLAME,WWT,WBWS,LCOR,KING
Heathcote Ju,Montane Forest,3.7,2.5,6.3,24.9,2.8,7.4,1.3,4.7,5.5,9.5,5.7,2.9,0,1.8,12,0,0,0,0,2.8,0.9,2.6,0,0,0,11.7,0,0,0,0,0,0,5.9,0,4.4,4.7,0,0,0,0,3.7,2.5,1.5,0,0,0,0,1.8,0,0,0,0,0,0.9,0,1.6,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warburton,Montane Forest,3.8,6.5,11.1,36.1,6.2,8.5,2.3,25.4,8.2,5.9,10.5,3.1,9.8,1.6,7.6,15,0,0,0,1.8,7.6,0,0.9,1.5,0,0,0,3.9,2.5,0,0,0,0,0,2.7,6.2,3.3,0,0,0,6.2,4.6,5.7,0,0,7.4,0,3.9,1.4,0,0,0,0,1.4,2.1,2.1,0,0,0,0,0,0,0,0,0,0,1.8,0.7,0,0,0,0,0,0,0,0,0,0,0,1.8,2.1,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Millgrove,Mixed,5.4,6.5,11.9,19.6,3.3,8.6,2.5,11.9,4.3,5.4,10.8,6.5,2.7,2,8.6,0,0,0,6.5,2.5,5.4,2,5.4,2.2,0,0,0,5.4,3.2,0,0,0,8.8,0,2.2,5.4,2.6,0,0,0,5.3,3.2,1.1,0,0,0.9,0,1.9,0,2.2,0,0,0,0,0,3.5,0,0,0,0,0,1.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Cairn,Mixed,3.1,9.3,11.1,25.9,9.3,8.3,2.8,2.8,2.8,8.3,18.5,3.1,0,3.1,12,3.3,0,0,0,2.5,7.4,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0.9,3.7,0,0,0,3.7,12,2.1,0,0,0,0,3.7,0,5.6,3.7,0,0,0,4.1,4.6,0,0,0,0,0,0,0,0,0,0,3.7,2.8,0,0,0,0,0,0,0,0,0,0,0,4.6,1.9,0,2.8,0,1.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panton Gap,Montane Forest,3.8,3.8,10.3,34.6,7.9,4.8,2.9,3.7,4.8,7.2,5.9,3.1,0.6,3.8,17.3,2.4,0,0,0,3.1,9.2,0,3.7,0,0,0,0,0,0,0,0,0,0,0,1.2,4.9,3.8,0,0,0,1.9,2.4,2.9,0,0,7.7,0,0,2.4,1.8,0.6,0,0,0.9,1.8,3.1,1,0,0,0,0,0,0,0,0,0,4.8,1.8,0,0,0,0,0,0,0,0,0,0,0,1.8,3.7,0,1.8,0,3.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OShannassy,Mixed,9.6,4,5.4,34.9,7,5.1,2.6,6.4,3.9,11.3,11.6,2.3,0,2.3,7.8,0,0,0,0,1.5,3.1,0,9.6,0.7,0,0,0,0,0,0,0,0,3.9,0,3.1,8.5,2.9,0,0,0,2.2,3.7,0,0,0,0,0,1.5,1.6,8.1,0,0,0,0,2.4,5.4,2.2,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,0,0,0.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Ghin Ghin,Mixed,3.4,2.7,9.1,16.1,1.3,3.2,4.7,0,22,5.8,7.4,4.5,0,0,8.1,2.7,8.4,8.4,3.4,0,0,0,44.7,0.4,1.3,0,0.4,0.6,0.6,0,8.4,47.6,6.1,4.7,1.2,6.7,0,0,0,0,4.5,6.7,0,0,2.7,0,1.3,0,0,0,0,0,0,0,0,2.4,0,1.2,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,3.9,0,0,1.2,0,0,0.8,0,1.8,1.2,0,0,0,0,2.6,0,0,0,0
Minto,Mixed,5.6,3.3,13.3,28,7,8.3,7,38.9,10.5,7,14,5.2,1.7,5.2,25.2,0,15.4,0,0,0,3.3,0,10.5,0,0,0,0,0,3.5,0,6.7,80.5,5,0,5,26.7,0,0,0,0,5,17.5,0,0,0,0,2.8,0,0,0,2.8,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawke,Mixed,1.7,2.6,5.5,16,4.3,6.7,3.5,5.9,6.7,10,3.7,2.1,0.5,1.5,9,4.8,0,0,0,2.1,3.7,0,0,0.7,0,3.2,0,0,1.5,0,0,0,4.2,0,0,3.2,0,0,0,5.2,3.7,0,0,0,0,0.5,0,0,1.7,0,0,0,0,0,0,1.1,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Andrews,Foothills Woodland,4.7,3.6,6,25.2,3.7,7.5,4.7,10,0,0,4,5.1,2.8,3.7,15.8,3.4,0,9,0,3.7,5.6,4,0.9,0,0,10,0,0,2.7,0,0,0,8.4,0,5.1,5,0,0,0,10,5.1,0.9,3.4,0,0,1,0,0,0,0,0,0,1.7,0,0,3.4,0,0,0,0,0,0,0.9,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepean,Foothills Woodland,14,5.6,5.5,20,3,6.6,7,3.3,7,10,4.7,3.3,2.1,3.7,12,2.2,0,0,3.7,0,4,2,0,1.1,0,0,1.1,4.5,0,0,0,0,3.3,0,0,1,0,0,0,0,4.7,1.1,0,0,0,5,0,0,0,5.6,0,0,2.2,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Schanck,Mixed,6,4.9,4.9,16.2,3.4,2.6,2.8,9.4,6.6,7.8,5.1,5.2,21.3,0,0,4.3,0,0,6.4,0,4.6,0,3.4,0,0,0,33.3,0,0,0,0,0,2.6,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balnarring,Mixed,4.1,4.9,10.7,21.2,3.9,0,5.1,2.9,12.1,6.1,0,2.7,0,0,4.9,16.5,0,0,9.1,0,3.9,0,2.7,1,0,0,4.9,10.1,0,0,0,0,4.9,0,0,1.9,0,0,0,0,0,10.3,0,0,0,3.9,0,0,0,0,0,0,4.9,0,0,1,0,0,0,0,0,0,0,0,16.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
Bittern,Gipps.Manna,6.5,9.7,7.8,14.4,5.2,0,11.5,12.5,20.7,4.9,0,0,16.1,5.2,0,0,27.7,0,2.3,0,0,0,2.3,2.3,6.3,0,2.6,0,1.3,0,0,0,0,12.5,2.3,19.5,0,0,0,0,3.5,8,0,0,0,2.3,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailieston,Box-Ironbark,6.5,2.5,5.1,5.6,4.3,5.7,6.2,6.2,1.2,0,0,1.6,5,4.1,9.8,0,0,8.7,0,0,0,6.2,0,1.6,0,10,0,2.5,0,0,0,0,7.3,0,0,1.1,0,0,1.2,0,2.8,0.8,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0
Donna Buang,Mixed,1.5,0,2.2,9.6,6.7,3,8.1,0,0,7.3,8.1,1.5,2.2,0.7,5.2,0,0,0,0,1.5,7.4,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,2.2,0,3.7,0,0,0,3.7,4.4,4.4,0,0,0,0,3.6,3,1.5,0.7,0,0,0,2.2,2.2,0.8,0,0,0,0,0,0,0,0,0,0.7,4.4,0,0,0,0,0,0,0,0,0,0,0,2.2,0.7,0,0.7,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
Upper Yarra,Mixed,4.7,3.1,7,17.1,8.3,12.8,1.3,6.4,2.3,5.4,5.4,2.4,0.6,2.3,6.4,0,0,0,0,1.3,2.3,0,6.4,0.9,0,0,0,0,0,0,0,0,7,0,6.4,3.9,0.9,0,0,0,3.9,2.3,0,0,0,0.6,0,0.8,0.9,0.9,0,0,0,0,0.9,2.3,0,0,0,0,0,0,0.7,0,0,0,0,0,1.6,0,0,0,0,0,0,0.9,0,0,0,0,1.6,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gembrook,Mixed,7.5,7.5,12.7,16.4,4.7,6.4,1.6,8.9,9.3,6.4,4.8,3.6,14.5,4.7,24.3,2.4,0,0,3.6,0,26.6,4.7,2.8,0,0,0,4.8,9.7,0,0,0,0,10.9,0,0,20.2,0,0,0,0,4.5,1.8,1.8,0,0,5.6,0,5.5,0,11.2,0,0,0.8,2.4,1.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.8,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcadia,River Red Gum,3.1,0,1.2,0,1.2,0,0,1.8,0.7,0,0,1.8,0,2.5,0,2.7,27.6,0,4.3,3.7,0,0,0.6,2.1,4.9,8,0,0,1.8,6.7,3.1,24,0,2.7,8.2,0,0,4.1,0,0,0,9.8,0,0,3.7,0,4.3,0,0,0,0,2.5,0,0,0,0.6,0,2.5,0,1.4,0,0,0,0,0,0,0,0,2.1,11,3.1,1.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,1.4,1.4,0,0,0,1.8,2.1,0,4.8,0
Undera,River Red Gum,2.7,0,2.2,0,1.3,6.5,0,0,6.5,0,0,0,0,2.2,7.5,3.1,13.5,11.5,2,0,0,0,0,1.9,2.5,6.5,0,3.8,0,4,3.2,16,1.5,1,8.7,0,0,8.6,0,0,0,0,0,0,1.6,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,3.2,1,0,0,0,0,0,0,0,0,2.1,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,3.1,0,3.1,0,1.5,0,1,0,0,0,5.9,0,0,0,0
Coomboona,River Red Gum,4.4,0,2.1,0,0,3.3,0,0,0.8,0,0,2.8,0,2.2,3.1,1.7,13.9,5.6,4.6,1.1,0,0,0,6.9,3.3,5.6,0,3.3,1,4.2,5.4,30.4,1.1,0,8.1,0,0,5.4,0,0,0,0,0,0,2.3,0,2.6,0,0,0,0,0.6,0,0,0,0,0,0,2.6,5.9,0,0,0,0,0,0,0,0,2.2,1.1,0,1.1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.6,5.4,0,1.6,0,0,0,0,1.7,0,0,0,0
Toolamba,River Red Gum,3,0,0.5,0,0.8,0,0,0,1.6,0,0,2,0,2.5,0,2.5,16,0,5,0,0,0,0.8,3,3.5,5,0,0,0.8,7,3.7,29.9,0,6,4.5,0,0,7.8,0,0,0,0,0,0,1.6,0,2,0,0,0,0,3.3,0,0,0,0,0,2,0,6.6,0,0,0,0,0,0,0,0,1,5,0.4,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0.8,1.5,0.5,0.4,0,0,0,2.5,0,0,0
Rushworth,Box-Ironbark,2.1,1.1,3.2,1.8,0.5,4.8,0.9,5.3,4.8,0,1.1,1.1,26.3,1.6,3.2,0,0,10.7,3.2,0,0,1.1,2.7,1.1,0,9.6,0,2.7,0,0,0,0,4.3,0,1.1,14.4,0,0,9.6,11.7,3.2,2.7,1.1,16,0,9.9,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.1,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
Sayers,Box-Ironbark,2.6,0,1.1,7.5,1.6,5.2,3.6,6.9,6.7,0,2.7,1.6,8,1.6,7.5,2.7,0,20.2,1.1,0,0,2.6,0,0.5,0,5.6,0,0,0,0,0,0,3.7,0,0,8,0,0,3.1,9.1,5.7,3.7,1.6,3.1,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.6,0,0,0,1.7,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waranga,Mixed,3,1.6,1.5,3,0,3,0,14.5,6.7,0,0.7,4,23,1.6,0,8.9,25.3,2.2,3.4,0,0,0,10.9,1.6,2.4,8.9,0,0,0.7,5.5,2.7,0,1.4,3.4,2.7,16.3,0,5.9,14.8,0,2.2,0,0,20,0,8.1,2.7,0,0,0,0,4.8,0,0,0,0,0,2.4,0,0,0,0,4.8,0,0,0,0,0,1.4,0,0.8,0,0,0,0,0.8,4.8,10.9,2.7,0,0,0,0,0,0,0,0,0,0,0,1.4,2.4,0,0.7,0,2.1,0,0,0,1.6,0,0
Costerfield,Box-Ironbark,7.1,2.2,4.5,9,2.7,6,2.5,7.7,9.5,0,7.7,2.2,8.9,1.9,9.3,1.1,0,15.8,1.1,0,0,5.5,0,1.3,0,5.7,0,3.3,1.1,5.5,0,0,6.2,0,6.6,0.6,0,0,15.9,13.9,6.3,3.9,1.6,3.8,0,10.8,0,0,0,0,0,0,0,0,0,1.6,0,1.1,0,0,3.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,6.3,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,0,0,0,0,0,0
Tallarook,Foothills Woodland,4.3,2.9,8.7,14.4,2.9,5.8,2.8,11.1,2.9,0,3.8,2.9,2.9,1.9,4.6,10.3,0,2.9,0,0,5.8,5.6,0,1.5,0,2.8,0,3.8,3.4,0,0,0,9.5,0,1.9,5.8,0,0,0,30.6,8.3,0,0.9,0,0,2.3,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,2.9,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0
